model,project,dimension,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
GPT-5.2,Zooniverse,Pragmatic,5,9.0,0.0,70.6,21.26734586167254,3.0,0.0,247.4,21.26734586167254,0.11956309106389687,0.031468737861690715,5,0.75,0.0,5,0.204904520964576,0.04639375336482432,5,0.7779874213836478,0.06687844610588851,5,0.776969696969697,0.06444650261112887,5,0.763993710691824,0.03343922305294428,5,0.2220125786163522,0.06687844610588847,5,0.25,0.0,5,0.9879464334365088,0.001073802983802506,5,0.2374902476177605,0.0505694711337905,5
GPT-5.2,Zooniverse,Semantic,5,24.6,0.5477225575051661,73.4,27.8262466028029,24.4,0.5477225575051661,85.6,27.8262466028029,0.270938338886907,0.08900290740509313,5,0.5020408163265306,0.011178011377656463,5,0.3458569266150955,0.07488436711207322,5,0.5383647798742138,0.1750078402692006,5,0.5298076923076923,0.13557351332318895,5,0.5202027981003722,0.09137391393687394,5,0.46163522012578617,0.17500784026920063,5,0.49795918367346936,0.011178011377656463,5,0.7669152331644677,0.05663452027786338,5,0.03926585080096805,0.1630111564595576,5
GPT-5.2,Zooniverse,Syntactic,5,3.0,0.0,8.0,2.9154759474226504,5.0,0.0,126.0,2.9154759474226504,0.2878205128205128,0.07208902652210436,5,0.375,0.0,5,0.32157167214711974,0.047295524735475845,5,0.9402985074626865,0.021757283189721276,5,0.9084507042253521,0.020531520756497508,5,0.6576492537313433,0.010878641594860648,5,0.05970149253731343,0.02175728318972127,5,0.625,0.0,5,0.9618168051320695,0.0008569360819774929,5,0.27906855158803645,0.051050575154599785,5
Gemini-3.1-Pro-Preview,BADCamp,Pragmatic,5,8.2,1.6431676725154984,51.2,0.4472135954999579,27.8,1.6431676725154984,283.8,0.4472135954999579,0.13754504377117074,0.02334371999202192,5,0.22777777777777777,0.04564354645876385,5,0.17148997112842898,0.031060472573361045,5,0.8471641791044776,0.0013349659567163062,5,0.7870619946091644,0.004668600559484829,5,0.5374709784411277,0.022876884301639745,5,0.1528358208955224,0.0013349659567162937,5,0.7722222222222223,0.04564354645876386,5,0.9108029185342527,0.00483748772750266,5,0.060190131017524406,0.035914368328424054,5
Gemini-3.1-Pro-Preview,BADCamp,Semantic,5,26.2,1.9235384061671346,17.6,0.8944271909999159,30.8,1.9235384061671346,159.4,0.8944271909999159,0.597806441455625,0.014375612805633832,5,0.45964912280701753,0.03374628782749359,5,0.5193507145275333,0.026159182740068346,5,0.9005649717514125,0.005053260966101217,5,0.7931623931623931,0.006481090123120986,5,0.680107047279215,0.015380898186164147,5,0.09943502824858758,0.005053260966101218,5,0.5403508771929825,0.033746287827493573,5,0.8381466987287528,0.007924338357763966,5,0.39619816424418186,0.026199786932500264,5
Gemini-3.1-Pro-Preview,BADCamp,Syntactic,5,7.0,0.0,1.4,0.5477225575051661,2.0,0.0,174.6,0.5477225575051661,0.8361111111111111,0.05325080420189114,5,0.7777777777777778,0.0,5,0.8052287581699347,0.02505920197736051,5,0.9920454545454546,0.003112059985824774,5,0.9816216216216217,0.0029606624730009285,5,0.8849116161616162,0.001556029992912387,5,0.007954545454545455,0.0031120599858248076,5,0.2222222222222222,0.0,5,0.9886748844375963,3.516451961383033e-05,5,0.7965345310317365,0.02749602805733543,5
Gemini-3.1-Pro-Preview,PlanningPoker,Pragmatic,5,7.0,0.0,49.4,1.3416407864998738,0.0,0.0,240.6,1.3416407864998738,0.12417153996101364,0.00305116488157866,5,1.0,0.0,5,0.2209016393442623,0.004811211836833566,5,0.829655172413793,0.0046263475396547465,5,0.8336700336700337,0.00451730904545415,5,0.9148275862068965,0.002313173769827398,5,0.1703448275862069,0.0046263475396547465,5,0.0,0.0,5,1.0,0.0,5,0.32095524822981164,0.004819443470899617,5
Gemini-3.1-Pro-Preview,PlanningPoker,Semantic,5,25.6,0.8944271909999159,15.6,10.21273714534943,2.4,0.8944271909999159,154.4,10.21273714534943,0.6556424296812167,0.16565301893282908,5,0.9142857142857143,0.03194382824999703,5,0.7526025884460209,0.10440310334573313,5,0.908235294117647,0.060074924384408396,5,0.9090909090909091,0.0490965204424838,5,0.9112605042016807,0.024507723000898974,5,0.09176470588235294,0.0600749243844084,5,0.08571428571428572,0.031943828249996996,5,0.9848301269359961,0.004800171260651132,5,0.7227486284760394,0.11124305488948423,5
Gemini-3.1-Pro-Preview,PlanningPoker,Syntactic,5,0.0,0.0,0.0,0.0,8.0,0.0,142.0,0.0,,,0,0.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.9466666666666667,0.0,5,0.5,0.0,5,0.0,0.0,5,1.0,0.0,5,0.9466666666666667,0.0,5,,,0
Gemini-3.1-Pro-Preview,Zooniverse,Pragmatic,5,8.6,1.3416407864998738,43.6,15.97811002590732,3.4,1.3416407864998738,274.4,15.97811002590732,0.17636363636363636,0.05154143714414043,5,0.7166666666666667,0.11180339887498948,5,0.27937575340244974,0.06594251561934168,5,0.8628930817610063,0.05024562901228716,5,0.8575757575757575,0.04781737526684699,5,0.7897798742138364,0.05679344532031498,5,0.1371069182389937,0.05024562901228717,5,0.2833333333333333,0.11180339887498948,5,0.9877830949445636,0.0048315387726240566,5,0.3063297096099874,0.07057989557789862,5
Gemini-3.1-Pro-Preview,Zooniverse,Semantic,5,21.6,2.1908902300206643,15.0,0.0,27.4,2.1908902300206643,144.0,0.0,0.589010989010989,0.02407571681341393,5,0.44081632653061226,0.0447120455106258,5,0.5038961038961038,0.03793749316053098,5,0.9056603773584906,0.0,5,0.7961538461538461,0.010533126105868602,5,0.6732383519445514,0.022356022755312868,5,0.09433962264150944,0.0,5,0.5591836734693878,0.0447120455106258,5,0.840250367684783,0.010790717006634592,5,0.3855683866478342,0.0405160285150512,5
Gemini-3.1-Pro-Preview,Zooniverse,Syntactic,5,3.0,0.0,1.0,1.0,5.0,0.0,133.0,1.0,0.79,0.20124611797498107,5,0.375,0.0,5,0.5027972027972027,0.041987169377001574,5,0.9925373134328358,0.007462686567164201,5,0.9577464788732394,0.007042253521126807,5,0.6837686567164178,0.0037313432835821003,5,0.007462686567164179,0.007462686567164179,5,0.625,0.0,5,0.9637665938337873,0.0002625650504079769,5,0.5231198289406879,0.07565208867911409,5
