model,criterion,conditions,mean_pairwise_jaccard_mean,mean_pairwise_jaccard_sd,mean_pairwise_jaccard_min,mean_pairwise_jaccard_max,min_pairwise_jaccard_mean,min_pairwise_jaccard_sd,min_pairwise_jaccard_min,min_pairwise_jaccard_max,unanimous_unit_rate_mean,unanimous_unit_rate_sd,unanimous_unit_rate_min,unanimous_unit_rate_max,flip_unit_rate_mean,flip_unit_rate_sd,flip_unit_rate_min,flip_unit_rate_max,fleiss_kappa_across_runs_mean,fleiss_kappa_across_runs_sd,fleiss_kappa_across_runs_min,fleiss_kappa_across_runs_max
GPT-4.1,Uniform,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GPT-4.1,Unique,3,0.65,0.32787192621510003,0.35,1.0,0.4166666666666667,0.5204164998665332,0.0,1.0,0.972002731440835,0.024405222580926533,0.9552238805970149,1.0,0.027997268559164956,0.024405222580926533,0.0,0.04477611940298509,0.4183156819026357,0.3699153467566643,0.15674603174602517,0.6798853320592462
GPT-4.1,Well-formed,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
GPT-5.2,Atomic,3,0.7965455840455841,0.11770421349612457,0.6726923076923077,0.9069444444444444,0.6050925925925926,0.1701960410433547,0.4375,0.7777777777777778,0.9081482055187666,0.09725612863562472,0.7959183673469388,0.967741935483871,0.09185179448123333,0.09725612863562472,0.032258064516129004,0.20408163265306123,0.8489749825147144,0.10828688536173876,0.7303827751196171,0.942592592592593
GPT-5.2,Complete,3,0.5848779168986916,0.2189334631570016,0.4164845223153474,0.8323676323676323,0.34997263273125345,0.33062736148842914,0.06896551724137931,0.7142857142857143,0.5150453728748695,0.4196089649668782,0.0847457627118644,0.9230769230769231,0.48495462712513054,0.4196089649668782,0.07692307692307687,0.9152542372881356,0.5206754540653943,0.3486148173575399,0.17965159036587594,0.876415175870711
GPT-5.2,Conceptually sound,3,0.5907268170426065,0.2140604716918095,0.37218045112781956,0.8,0.1783625730994152,0.2790981239614661,0.0,0.5,0.6776175213675214,0.5147002890883797,0.08333333333333333,0.9807692307692307,0.32238247863247865,0.5147002890883796,0.019230769230769273,0.9166666666666666,0.2554407039621935,0.5455371920338404,-0.1120832565850065,0.882266372332598
GPT-5.2,Conflict-free,3,0.8833333333333333,0.202072594216369,0.65,1.0,0.7777777777777778,0.3849001794597505,0.3333333333333333,1.0,0.9869281045751634,0.02264118702704413,0.9607843137254902,1.0,0.013071895424836591,0.02264118702704413,0.0,0.039215686274509776,0.7813786008230451,0.0,0.7813786008230451,0.7813786008230451
GPT-5.2,Estimatable,3,0.7764882464882465,0.225021560380083,0.5175213675213676,0.9243243243243244,0.6457281457281457,0.3268782196956294,0.2692307692307692,0.8571428571428571,0.7688470066518847,0.20014310812582783,0.5454545454545454,0.9318181818181818,0.23115299334811534,0.20014310812582783,0.06818181818181823,0.4545454545454546,0.7017782862424906,0.21146016725541478,0.49050004726344654,0.9134199134199134
GPT-5.2,Full sentence,3,0.9580808080808081,0.07260617021627111,0.8742424242424243,1.0,0.9393939393939394,0.10497277621629557,0.8181818181818182,1.0,0.9846153846153847,0.02664693550105962,0.9538461538461539,1.0,0.015384615384615366,0.02664693550105962,0.0,0.0461538461538461,0.9719634230503796,0.04856077574705698,0.9158902691511388,1.0
GPT-5.2,Independent,3,0.8280428926509936,0.0965857158105598,0.7181567701304543,0.8994959677419354,0.7412037037037037,0.11283671603514835,0.6111111111111112,0.8125,0.8219297225533235,0.01647468097706364,0.8113207547169812,0.8409090909090909,0.1780702774466765,0.01647468097706364,0.15909090909090906,0.18867924528301883,0.7915157633022755,0.03427045844571698,0.7709627329192547,0.8310778385641615
