model,project,run,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
Gemini-3.1-Pro-Preview,Zooniverse,1,260,3,6,8,243,0.3333333333333333,0.2727272727272727,0.3,0.9759036144578314,0.9461538461538461,0.624315443592552,0.024096385542168676,0.7272727272727273,0.9681274900398407,0.27377449108129887
Gemini-3.1-Pro-Preview,Zooniverse,2,260,3,0,8,249,1.0,0.2727272727272727,0.42857142857142855,1.0,0.9692307692307692,0.6363636363636364,0.0,0.7272727272727273,0.9688715953307393,0.5140405702057712
Gemini-3.1-Pro-Preview,Zooniverse,3,260,6,4,5,245,0.6,0.5454545454545454,0.5714285714285714,0.9839357429718876,0.9653846153846154,0.7646951442132165,0.01606425702811245,0.45454545454545453,0.98,0.5541176475147955
Gemini-3.1-Pro-Preview,Zooniverse,4,260,3,8,8,241,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.9678714859437751,0.9384615384615385,0.6202993793355239,0.0321285140562249,0.7272727272727273,0.9678714859437751,0.24059875867104782
Gemini-3.1-Pro-Preview,Zooniverse,5,260,3,1,8,248,0.75,0.2727272727272727,0.4,0.9959839357429718,0.9653846153846154,0.6343556042351223,0.004016064257028112,0.7272727272727273,0.96875,0.43947261699449297
GPT-4.1,BADCamp,1,321,9,14,2,296,0.391304347826087,0.8181818181818182,0.5294117647058824,0.9548387096774194,0.9501557632398754,0.8865102639296187,0.04516129032258064,0.18181818181818182,0.9932885906040269,0.545250617859514
GPT-4.1,BADCamp,2,321,5,16,6,294,0.23809523809523808,0.45454545454545453,0.3125,0.9483870967741935,0.9314641744548287,0.701466275659824,0.05161290322580645,0.5454545454545454,0.98,0.2964416818134393
GPT-4.1,BADCamp,3,321,9,15,2,295,0.375,0.8181818181818182,0.5142857142857142,0.9516129032258065,0.9470404984423676,0.8848973607038124,0.04838709677419355,0.18181818181818182,0.9932659932659933,0.5324370551437019
GPT-4.1,BADCamp,4,321,9,13,2,297,0.4090909090909091,0.8181818181818182,0.5454545454545454,0.9580645161290322,0.9532710280373832,0.8881231671554253,0.041935483870967745,0.18181818181818182,0.9933110367892977,0.5588944760946057
GPT-4.1,BADCamp,5,321,9,16,2,294,0.36,0.8181818181818182,0.5,0.9483870967741935,0.9439252336448598,0.8832844574780059,0.05161290322580645,0.18181818181818182,0.9932432432432432,0.5203703389784198
GPT-4.1,PlanningPoker,1,254,0,0,10,244,,0.0,0.0,1.0,0.9606299212598425,0.5,0.0,1.0,0.9606299212598425,
GPT-4.1,PlanningPoker,2,254,2,0,8,244,1.0,0.2,0.3333333333333333,1.0,0.968503937007874,0.6,0.0,0.8,0.9682539682539683,0.4400577162723017
GPT-4.1,PlanningPoker,3,254,1,0,9,244,1.0,0.1,0.18181818181818182,1.0,0.9645669291338582,0.55,0.0,0.9,0.9644268774703557,0.31055223030439755
GPT-4.1,PlanningPoker,4,254,0,0,10,244,,0.0,0.0,1.0,0.9606299212598425,0.5,0.0,1.0,0.9606299212598425,
GPT-4.1,PlanningPoker,5,254,0,0,10,244,,0.0,0.0,1.0,0.9606299212598425,0.5,0.0,1.0,0.9606299212598425,
GPT-4.1,Zooniverse,1,260,3,9,8,240,0.25,0.2727272727272727,0.2608695652173913,0.963855421686747,0.9346153846153846,0.6182913472070098,0.03614457831325301,0.7272727272727273,0.967741935483871,0.22696690019405438
GPT-4.1,Zooniverse,2,260,3,10,8,239,0.23076923076923078,0.2727272727272727,0.25,0.9598393574297188,0.9307692307692308,0.6162833150784958,0.040160642570281124,0.7272727272727273,0.9676113360323887,0.2147945527933299
GPT-4.1,Zooniverse,3,260,3,9,8,240,0.25,0.2727272727272727,0.2608695652173913,0.963855421686747,0.9346153846153846,0.6182913472070098,0.03614457831325301,0.7272727272727273,0.967741935483871,0.22696690019405438
GPT-4.1,Zooniverse,4,260,3,9,8,240,0.25,0.2727272727272727,0.2608695652173913,0.963855421686747,0.9346153846153846,0.6182913472070098,0.03614457831325301,0.7272727272727273,0.967741935483871,0.22696690019405438
GPT-4.1,Zooniverse,5,260,3,10,8,239,0.23076923076923078,0.2727272727272727,0.25,0.9598393574297188,0.9307692307692308,0.6162833150784958,0.040160642570281124,0.7272727272727273,0.9676113360323887,0.2147945527933299
GPT-5.2,BADCamp,1,321,6,10,5,300,0.375,0.5454545454545454,0.4444444444444444,0.967741935483871,0.9532710280373832,0.7565982404692082,0.03225806451612903,0.45454545454545453,0.9836065573770492,0.42899373338936075
GPT-5.2,BADCamp,2,321,6,16,5,294,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.9483870967741935,0.9345794392523364,0.7469208211143694,0.05161290322580645,0.45454545454545453,0.9832775919732442,0.3555641472396358
GPT-5.2,BADCamp,3,321,7,15,4,295,0.3181818181818182,0.6363636363636364,0.42424242424242425,0.9516129032258065,0.940809968847352,0.7939882697947214,0.04838709677419355,0.36363636363636365,0.9866220735785953,0.42334092352462577
GPT-5.2,BADCamp,4,321,6,15,5,295,0.2857142857142857,0.5454545454545454,0.375,0.9516129032258065,0.9376947040498442,0.748533724340176,0.04838709677419355,0.45454545454545453,0.9833333333333333,0.36569770791395895
GPT-5.2,BADCamp,5,321,7,13,4,297,0.35,0.6363636363636364,0.45161290322580644,0.9580645161290322,0.9470404984423676,0.7972140762463342,0.041935483870967745,0.36363636363636365,0.9867109634551495,0.4473818010722731
GPT-5.2,PlanningPoker,1,254,2,5,8,239,0.2857142857142857,0.2,0.23529411764705882,0.9795081967213115,0.9488188976377953,0.5897540983606557,0.020491803278688523,0.8,0.9676113360323887,0.21324639631902473
GPT-5.2,PlanningPoker,2,254,2,3,8,241,0.4,0.2,0.26666666666666666,0.9877049180327869,0.9566929133858267,0.5938524590163935,0.012295081967213115,0.8,0.9678714859437751,0.2627761159536304
GPT-5.2,PlanningPoker,3,254,2,6,8,238,0.25,0.2,0.2222222222222222,0.9754098360655737,0.9448818897637795,0.5877049180327869,0.02459016393442623,0.8,0.967479674796748,0.19531531968509758
GPT-5.2,PlanningPoker,4,254,2,6,8,238,0.25,0.2,0.2222222222222222,0.9754098360655737,0.9448818897637795,0.5877049180327869,0.02459016393442623,0.8,0.967479674796748,0.19531531968509758
GPT-5.2,PlanningPoker,5,254,2,3,8,241,0.4,0.2,0.26666666666666666,0.9877049180327869,0.9566929133858267,0.5938524590163935,0.012295081967213115,0.8,0.9678714859437751,0.2627761159536304
GPT-5.2,Zooniverse,1,260,3,7,8,242,0.3,0.2727272727272727,0.2857142857142857,0.9718875502008032,0.9423076923076923,0.6223074114640379,0.028112449799196786,0.7272727272727273,0.968,0.256040568162009
GPT-5.2,Zooniverse,2,260,3,10,8,239,0.23076923076923078,0.2727272727272727,0.25,0.9598393574297188,0.9307692307692308,0.6162833150784958,0.040160642570281124,0.7272727272727273,0.9676113360323887,0.2147945527933299
GPT-5.2,Zooniverse,3,260,3,5,8,244,0.375,0.2727272727272727,0.3157894736842105,0.9799196787148594,0.95,0.6263234757210661,0.020080321285140562,0.7272727272727273,0.9682539682539683,0.29448610943434916
GPT-5.2,Zooniverse,4,260,3,12,8,237,0.2,0.2727272727272727,0.23076923076923078,0.9518072289156626,0.9230769230769231,0.6122672508214677,0.04819277108433735,0.7272727272727273,0.9673469387755103,0.19384313632272357
GPT-5.2,Zooniverse,5,260,3,6,8,243,0.3333333333333333,0.2727272727272727,0.3,0.9759036144578314,0.9461538461538461,0.624315443592552,0.024096385542168676,0.7272727272727273,0.9681274900398407,0.27377449108129887
AQUSA,PlanningPoker,1,254,1,4,9,240,0.2,0.1,0.13333333333333333,0.9836065573770492,0.9488188976377953,0.5418032786885246,0.01639344262295082,0.9,0.963855421686747,0.11704438352519782
AQUSA,BADCamp,1,321,5,10,6,300,0.3333333333333333,0.45454545454545453,0.38461538461538464,0.967741935483871,0.9501557632398754,0.7111436950146628,0.03225806451612903,0.5454545454545454,0.9803921568627451,0.3639812061639621
AQUSA,Zooniverse,1,260,2,6,9,243,0.25,0.18181818181818182,0.21052631578947367,0.9759036144578314,0.9423076923076923,0.5788608981380066,0.024096385542168676,0.8181818181818182,0.9642857142857143,0.18384103941566307
