prompt_profile,model,project,run,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
one_shot,Gemini-3.1-Pro-Preview,BADCamp,4,345,14,2,11,318,0.875,0.56,0.6829268292682927,0.99375,0.9623188405797102,0.776875,0.00625,0.44,0.9665653495440729,0.682654240673879
one_shot,Gemini-3.1-Pro-Preview,BADCamp,5,345,13,2,12,318,0.8666666666666667,0.52,0.65,0.99375,0.9594202898550724,0.756875,0.00625,0.48,0.9636363636363636,0.6531218736332307
one_shot,Gemini-3.1-Pro-Preview,PlanningPoker,1,265,9,0,7,249,1.0,0.5625,0.72,1.0,0.9735849056603774,0.78125,0.0,0.4375,0.97265625,0.7396750236590391
one_shot,Gemini-3.1-Pro-Preview,PlanningPoker,2,265,2,0,14,249,1.0,0.125,0.2222222222222222,1.0,0.9471698113207547,0.5625,0.0,0.875,0.9467680608365019,0.34401454562934214
one_shot,Gemini-3.1-Pro-Preview,PlanningPoker,3,265,9,0,7,249,1.0,0.5625,0.72,1.0,0.9735849056603774,0.78125,0.0,0.4375,0.97265625,0.7396750236590391
one_shot,Gemini-3.1-Pro-Preview,PlanningPoker,4,265,9,0,7,249,1.0,0.5625,0.72,1.0,0.9735849056603774,0.78125,0.0,0.4375,0.97265625,0.7396750236590391
one_shot,Gemini-3.1-Pro-Preview,PlanningPoker,5,265,2,0,14,249,1.0,0.125,0.2222222222222222,1.0,0.9471698113207547,0.5625,0.0,0.875,0.9467680608365019,0.34401454562934214
one_shot,Gemini-3.1-Pro-Preview,Zooniverse,1,300,9,6,15,270,0.6,0.375,0.46153846153846156,0.9782608695652174,0.93,0.6766304347826086,0.021739130434782608,0.625,0.9473684210526315,0.43973155946962994
one_shot,Gemini-3.1-Pro-Preview,Zooniverse,2,300,9,10,15,266,0.47368421052631576,0.375,0.4186046511627907,0.9637681159420289,0.9166666666666666,0.6693840579710144,0.036231884057971016,0.625,0.9466192170818505,0.3773399002157014
one_shot,Gemini-3.1-Pro-Preview,Zooniverse,3,300,9,6,15,270,0.6,0.375,0.46153846153846156,0.9782608695652174,0.93,0.6766304347826086,0.021739130434782608,0.625,0.9473684210526315,0.43973155946962994
one_shot,Gemini-3.1-Pro-Preview,Zooniverse,4,300,8,6,16,270,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.9782608695652174,0.9266666666666666,0.6557971014492754,0.021739130434782608,0.6666666666666666,0.9440559440559441,0.4007767292507678
one_shot,Gemini-3.1-Pro-Preview,Zooniverse,5,300,8,10,16,266,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.9637681159420289,0.9133333333333333,0.6485507246376812,0.036231884057971016,0.6666666666666666,0.9432624113475178,0.33939397276584904
one_shot,GPT-5-Mini,BADCamp,1,345,7,1,18,319,0.875,0.28,0.42424242424242425,0.996875,0.9449275362318841,0.6384375,0.003125,0.72,0.9465875370919882,0.4769455412647698
one_shot,GPT-5-Mini,BADCamp,2,345,8,3,17,317,0.7272727272727273,0.32,0.4444444444444444,0.990625,0.9420289855072463,0.6553125,0.009375,0.68,0.9491017964071856,0.45836539618308114
one_shot,GPT-5-Mini,BADCamp,3,345,9,5,16,315,0.6428571428571429,0.36,0.46153846153846156,0.984375,0.9391304347826087,0.6721874999999999,0.015625,0.64,0.9516616314199395,0.45247917398668225
one_shot,GPT-5-Mini,BADCamp,4,345,8,6,17,314,0.5714285714285714,0.32,0.41025641025641024,0.98125,0.9333333333333333,0.650625,0.01875,0.68,0.9486404833836858,0.3958166276979689
