model,criterion,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
GPT-5.2,Complete,5,0.0,0.0,62.8,14.237275020171522,0.0,0.0,115.2,14.237275020171522,0.0,0.0,5,,,0,0.0,0.0,5,0.647191011235955,0.07998469112455911,5,0.647191011235955,0.07998469112455911,5,,,0,0.35280898876404493,0.07998469112455912,5,,,0,1.0,0.0,5,,,0
GPT-5.2,Conceptually sound,5,1.0,0.0,38.4,28.710625210886647,0.0,0.0,136.6,28.710625210886647,0.06328054089098824,0.06815498366676165,5,1.0,0.0,5,0.11307638597961178,0.11613724158684821,5,0.7805714285714286,0.16406071549078086,5,0.7818181818181817,0.16312855233458323,5,0.8902857142857142,0.08203035774539047,5,0.21942857142857142,0.16406071549078086,5,0.0,0.0,5,1.0,0.0,5,0.20487956973215232,0.14121003936457702,5
GPT-5.2,Conflict-free,5,0.0,0.0,2.4,0.8944271909999159,0.0,0.0,177.6,0.8944271909999159,0.0,0.0,5,,,0,0.0,0.0,5,0.9866666666666667,0.004969039949999571,5,0.9866666666666667,0.004969039949999571,5,,,0,0.013333333333333332,0.004969039949999533,5,,,0,1.0,0.0,5,,,0
GPT-5.2,Estimatable,5,23.2,4.8166378315169185,39.8,3.3466401061363023,13.8,4.8166378315169185,52.2,3.3466401061363023,0.36587319243604005,0.04379783709512569,5,0.6270270270270271,0.1301794008518086,5,0.4610822510822511,0.06766293423557415,5,0.5673913043478261,0.036376522892785895,5,0.5844961240310077,0.03449394645160774,5,0.5972091656874265,0.05912033521456303,5,0.4326086956521739,0.03637652289278589,5,0.372972972972973,0.1301794008518086,5,0.7950536830713413,0.05658808827123355,5,0.17687888519129155,0.10791077662111427,5
GPT-5.2,Full sentence,5,8.0,0.0,3.8,1.0954451150103321,0.0,0.0,165.2,1.0954451150103321,0.6825174825174826,0.06128364279778081,5,1.0,0.0,5,0.8100250626566415,0.043927623659562196,5,0.9775147928994082,0.006481923757457621,5,0.9785310734463277,0.006188955452035779,5,0.9887573964497042,0.0032409618787288103,5,0.022485207100591716,0.006481923757457586,5,0.0,0.0,5,1.0,0.0,5,0.8162289936875363,0.03966979577225561,5
GPT-5.2,Independent,5,3.0,0.0,81.4,7.334848328356899,0.0,0.0,71.6,7.334848328356899,0.035758450643798484,0.0030723389276818723,5,1.0,0.0,5,0.06903426063371634,0.005729538066208762,5,0.46797385620915033,0.047940185152659485,5,0.4782051282051282,0.047018258515108345,5,0.7339869281045751,0.023970092576329743,5,0.5320261437908497,0.04794018515265947,5,0.0,0.0,5,1.0,0.0,5,0.1293561701453785,0.012182715364315434,5
GPT-5.2,Minimal,5,2.4,0.5477225575051661,0.0,0.0,17.6,0.5477225575051661,113.0,0.0,1.0,0.0,5,0.12,0.0273861278752583,5,0.2134387351778656,0.04329822588973645,5,1.0,0.0,5,0.8676691729323308,0.004118214718083925,5,0.56,0.013693063937629105,5,0.0,0.0,5,0.88,0.02738612787525833,5,0.8652495596007046,0.0036343305342386393,5,0.32065508849008584,0.03691012005705668,5
GPT-5.2,Problem-oriented,5,43.8,5.890670590009257,2.2,1.6431676725154984,39.2,5.890670590009257,54.8,1.6431676725154984,0.9549000010213357,0.028741234628756218,5,0.5277108433734939,0.07097193481938861,5,0.6766872274959689,0.055879417344398614,5,0.9614035087719298,0.028827503026587657,5,0.7042857142857143,0.034478623960420486,5,0.7445571760727119,0.026868652926945423,5,0.03859649122807017,0.028827503026587688,5,0.472289156626506,0.07097193481938861,5,0.5847888215190126,0.03098258119136853,5,0.5134285240189372,0.03951877182467555,5
GPT-5.2,Unambiguous,5,44.2,0.8366600265340756,65.8,6.058052492344384,5.8,0.8366600265340756,28.2,6.058052492344384,0.40273613589176965,0.02174796784846918,5,0.884,0.016733200530681527,5,0.5530806275328275,0.021432517743681653,5,0.3,0.06444736693983388,5,0.5027777777777778,0.04212708580028641,5,0.592,0.03280931091553705,5,0.7000000000000001,0.06444736693983386,5,0.116,0.016733200530681513,5,0.824815195557131,0.040667246095204036,5,0.2043463566213819,0.06408648820162387,5
GPT-5.2,Uniform,5,0.0,0.0,3.4,2.073644135332772,3.0,0.0,175.6,2.073644135332772,0.0,0.0,4,0.0,0.0,5,0.0,0.0,5,0.9810055865921787,0.011584604108004319,5,0.9648351648351648,0.011393649095234971,5,0.49050279329608937,0.0057923020540021596,5,0.01899441340782123,0.011584604108004312,5,1.0,0.0,5,0.9832008938622311,0.00019311747313931568,5,-0.019920984491614672,0.0023813049093546466,4
GPT-5.2,Unique,5,4.0,0.0,5.6,1.6733200530681511,0.0,0.0,166.4,1.6733200530681511,0.4266666666666667,0.07226494462892934,5,1.0,0.0,5,0.5952380952380952,0.07142857142857141,5,0.9674418604651163,0.009728604959698517,5,0.9681818181818183,0.009507500301523577,5,0.9837209302325581,0.004864302479849285,5,0.03255813953488372,0.009728604959698553,5,0.0,0.0,5,1.0,0.0,5,0.6408177927758751,0.05794274971026321,5
GPT-5.2,Well-formed,5,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
Gemini-3.1-Pro-Preview,Atomic,5,5.0,0.0,1.2,0.8366600265340756,0.0,0.0,155.8,0.8366600265340756,0.819047619047619,0.11736911946539273,5,1.0,0.0,5,0.896969696969697,0.06893523130955953,5,0.9923566878980892,0.00532904475499411,5,0.9925925925925926,0.005164568065025181,5,0.9961783439490446,0.002664522377497055,5,0.007643312101910828,0.005329044754994112,5,0.0,0.0,5,1.0,0.0,5,0.8998851622064108,0.06606340901312903,5
